出題文,学習者,英語答え,翻訳,cos類似度,学習者訳長さ,正解文長さ
自分の故郷に少しも愛情を感じない人はめったにいません。,It is a rare person that one's hometown does not feel in love.,Most people love their hometown.,Rarely does one feel the least bit of love for one's hometown.,0.7836731672286987,13,12
君が大学に合格するかどうかは今後1年間の君の勉強量にかかっている。,It depends on the amount of study you do in the next year whether you pass the exam of college.,Whether you pass the university entrance exam or not will depend on how much work you do over the coming year.,Your success in college will depend on how much you study over the next year.,0.7616075873374939,20,15
君が大学に合格するかどうかは今後1年間の君の勉強量にかかっている。,Whether you pass the entrance exam for the university or not will be up to how much you study hard next one year.,Whether you pass the university entrance exam or not will depend on how much work you do over the coming year.,Your success in college will depend on how much you study over the next year.,0.6091529130935669,23,15
君が大学に合格するかどうかは今後1年間の君の勉強量にかかっている。,Whether you pass the test for university depends on your amount of study over the next year.,Whether you pass the university entrance exam or not will depend on how much work you do over the coming year.,Your success in college will depend on how much you study over the next year.,0.7494860887527466,17,15
丁寧に手を洗うことが、ばい菌の広がりを食い止める最良の方法である。,Washing your hands carefully is the best way to stop the spread of germs.,The best way to prevent the spread of germs is to wash your hands thoroughly.,Careful hand washing is the best way to stop the spread of germs.,0.94889897108078,14,13
丁寧に手を洗うことが、ばい菌の広がりを食い止める最良の方法である。,to wash hands politely is the best way to stop the movement of bacteria. ,The best way to prevent the spread of germs is to wash your hands thoroughly.,Careful hand washing is the best way to stop the spread of germs.,0.6829169392585754,14,13
丁寧に手を洗うことが、ばい菌の広がりを食い止める最良の方法である。,Washing hands cleanly is the best way to prevent not spread of the virus.,The best way to prevent the spread of germs is to wash your hands thoroughly.,Careful hand washing is the best way to stop the spread of germs.,0.6237432360649109,14,13
丁寧に手を洗うことが、ばい菌の広がりを食い止める最良の方法である。,Washing your hands neatly is the best way to curb the spreading of germs.,The best way to prevent the spread of germs is to wash your hands thoroughly.,Careful hand washing is the best way to stop the spread of germs.,0.8336734771728516,14,13
安売りがすべての消費者の利益になるとは限らない。,The cheap does not always lead to consumer's benefit.,Not all bargains mean saving for the consumers.,nan,0.0022356777917593718,9,1
母親のわが子に対する愛情ほど美しいものはない。,There is nothing more beautiful than a mother's love for her child.,Nothing is as beautiful as a mother’s love for her children.,Not all cheap sales are in the best interest of all consumers.,0.20277145504951477,12,12
母親のわが子に対する愛情ほど美しいものはない。,Nothing is more beautiful than a mother's love for her child.,Nothing is as beautiful as a mother’s love for her children.,Not all cheap sales are in the best interest of all consumers.,0.19760115444660187,11,12
母親のわが子に対する愛情ほど美しいものはない。,There is no beautiful thing other than a lovely passion for a child from mother.,Nothing is as beautiful as a mother’s love for her children.,Not all cheap sales are in the best interest of all consumers.,0.16999080777168274,15,12
沖縄ほど米軍基地が集中している県は日本には他にはない。,No other prefecture in Japan has as many US military bases as Okinawa.,Nowhere in Japan are there as many U.S. military bases as in Okinawa.,No other prefecture in Japan has such a high concentration of U.S. military bases as Okinawa.,0.9364383816719055,13,16
沖縄ほど米軍基地が集中している県は日本には他にはない。,No other prefecture of Japan is a lot of American bases in Okinawa.,Nowhere in Japan are there as many U.S. military bases as in Okinawa.,No other prefecture in Japan has such a high concentration of U.S. military bases as Okinawa.,0.9094769954681396,13,16
こんなすさまじい台風は生まれて始めてだ。,I never had such a terrible typhoon.,This is the worst typhoon I’ve experienced.,I had never seen such a tremendous typhoon in my life.,0.8546452522277832,7,11
こんなすさまじい台風は生まれて始めてだ。,It's been the first time for me to experience such a strong typhoon.,This is the worst typhoon I’ve experienced.,I had never seen such a tremendous typhoon in my life.,0.601429283618927,13,11
一般的に言って、人は年を取るにつれて、ますます寛大になるのです。,"Generally speaking, the older people become, the more generous they become.","Generally speaking, the older people get, he more broad-minded they become.","Generally speaking, people become increasingly generous as they get older.",0.9451789855957031,11,10
一般的に言って、人は年を取るにつれて、ますます寛大になるのです。,"In general, the more people become older, the more people become tolerable. ","Generally speaking, the older people get, he more broad-minded they become.","Generally speaking, people become increasingly generous as they get older.",0.7310399413108826,12,10
先日20年ぶりに帰省した。,I went to my hometown the other day for the first time in 20 years.,I went back to my hometown for the first time in twenty years the other day.,I recently returned home for the first time in 20 years.,0.7277309894561768,15,11
先日20年ぶりに帰省した。,I went home for the first time in 20years the other day.,I went back to my hometown for the first time in twenty years the other day.,I recently returned home for the first time in 20 years.,0.7549573183059692,12,11
先日20年ぶりに帰省した。,The other day I went home for the first time in 20 years.,I went back to my hometown for the first time in twenty years the other day.,I recently returned home for the first time in 20 years.,0.8631410002708435,13,11
こんなにいい天気は久しぶりですと地元の人が言っていた。,The local people said that it has been a long time since we have had such good weather.,The local people said that it was the most beautiful day for years.,The locals said they haven't had such nice weather in a long time.,0.6789014339447021,18,13
こんなにいい天気は久しぶりですと地元の人が言っていた。,"Local persons said, ""It's been a while such a beautiful weather we have"".",The local people said that it was the most beautiful day for years.,The locals said they haven't had such nice weather in a long time.,0.6161757111549377,13,13
こんなにいい天気は久しぶりですと地元の人が言っていた。,Local people said that there was no such sunny day for a long time. ,The local people said that it was the most beautiful day for years.,The locals said they haven't had such nice weather in a long time.,0.6337262392044067,14,13
の地方では、桜の花は3月の終わり頃に咲き、4月上旬に満開となる。,Cherry blossoms bloom around the end of March and bloom in early April in this region.,"In this area, the cherry blossoms come out around the end of March, and they are at their best in early April.","In the regions of the ""Mere Old Man"", cherry blossoms bloom at the end of March and are in full bloom in early April.",0.8229768872261047,16,24
の地方では、桜の花は3月の終わり頃に咲き、4月上旬に満開となる。,"In this area, the cherry blossoms bloom at the end of March and become full bloom in early April.","In this area, the cherry blossoms come out around the end of March, and they are at their best in early April.","In the regions of the ""Mere Old Man"", cherry blossoms bloom at the end of March and are in full bloom in early April.",0.8507770299911499,19,24
の地方では、桜の花は3月の終わり頃に咲き、4月上旬に満開となる。,"In this area, cherry blossoms start to bloom at the end of March, and they are in full bloom at the beginning of April.","In this area, the cherry blossoms come out around the end of March, and they are at their best in early April.","In the regions of the ""Mere Old Man"", cherry blossoms bloom at the end of March and are in full bloom in early April.",0.84236079454422,24,24
の地方では、桜の花は3月の終わり頃に咲き、4月上旬に満開となる。,The sakura starts blooming at the end of March and it fully blooms in early April.,"In this area, the cherry blossoms come out around the end of March, and they are at their best in early April.","In the regions of the ""Mere Old Man"", cherry blossoms bloom at the end of March and are in full bloom in early April.",0.6321866512298584,16,24
はひどい雨だから、もうしばらくここにおいでになった方がようでしょう。,"You are better stay here for minutes, it heavy rain outside.",It’s pouring down outside. I think it would be better to stay here a little longer.,"It's raining hard in the morning, so I think you'd better stay here for a while longer.",0.8094150424003601,11,17
はひどい雨だから、もうしばらくここにおいでになった方がようでしょう。,"Because it rains heavily outside, you better stay here for a while.",It’s pouring down outside. I think it would be better to stay here a little longer.,"It's raining hard in the morning, so I think you'd better stay here for a while longer.",0.7714338898658752,12,17
はひどい雨だから、もうしばらくここにおいでになった方がようでしょう。,"Because of heavy rain outside, you should stay here for a while.",It’s pouring down outside. I think it would be better to stay here a little longer.,"It's raining hard in the morning, so I think you'd better stay here for a while longer.",0.7421085834503174,12,17
はひどい雨だから、もうしばらくここにおいでになった方がようでしょう。,"It's raining terribly outside, so it is better for you to stay here for a while.",It’s pouring down outside. I think it would be better to stay here a little longer.,"It's raining hard in the morning, so I think you'd better stay here for a while longer.",0.7955124378204346,16,17
この頃、天候が変わりやすい。,"These days, climate frequently changes.",These days the weather is changeable. ,The weather is changeable at this time.,0.6238259077072144,5,7
この頃、天候が変わりやすい。,"Recently, the weather is so changeable.",These days the weather is changeable. ,The weather is changeable at this time.,0.8628683686256409,6,7
この頃、天候が変わりやすい。,"Recently, the weather changes easily.",These days the weather is changeable. ,The weather is changeable at this time.,0.6767488121986389,5,7
この頃、天候が変わりやすい。,"Recently, It tends to change the weather.",These days the weather is changeable. ,The weather is changeable at this time.,0.7810369729995728,7,7
梅雨に入ってからこの二週間近くも降ったりやんだりしている。,It has been raining on and off for nearly two weeks since the rainy season began.,"Since the rainy season set in, it has been raining off and on for nearly two weeks.",It has been raining on and off for almost two weeks now since the rainy season began.,0.9898625612258911,16,17
梅雨に入ってからこの二週間近くも降ったりやんだりしている。,"Since the rainy season came, it has rains repeatedly for two weeks.","Since the rainy season set in, it has been raining off and on for nearly two weeks.",It has been raining on and off for almost two weeks now since the rainy season began.,0.8279993534088135,12,17
今度の日曜日、天候がよければ奥多摩にハイキングに行きませんか。,Shall we go to take hiking to Okutama if good weather next Sunday?,How would you like to go hiking in Okutama next Sunday if the weather is nice.,"This coming Sunday, if the weather permits, why don't we go hiking in Okutama?",0.7817131876945496,13,14
今度の日曜日、天候がよければ奥多摩にハイキングに行きませんか。,Why don't we go hiking if the weather is fine this Sunday?,How would you like to go hiking in Okutama next Sunday if the weather is nice.,"This coming Sunday, if the weather permits, why don't we go hiking in Okutama?",0.7977226972579956,12,14
今度の日曜日、天候がよければ奥多摩にハイキングに行きませんか。,May I go hiking in Okutama with you if the weather of the coming Sunday is fine?,How would you like to go hiking in Okutama next Sunday if the weather is nice.,"This coming Sunday, if the weather permits, why don't we go hiking in Okutama?",0.8090078234672546,17,14
天気予報によると、台風は今夜半頃、九州地方に接近するそうです。,The weather forecast says Typhoon will come near to Kyushu area around midnight tonight.,The weather repot says that the typhoon is going to hit the Kyusyu area around midnight.,"According to the weather forecast, the typhoon will approach the Kyushu area around midnight this evening.",0.8997650742530823,14,16
天気予報によると、台風は今夜半頃、九州地方に接近するそうです。,"According to the forecast, the typhoon is approaching the Kyushu area around this midnight.",The weather repot says that the typhoon is going to hit the Kyusyu area around midnight.,"According to the weather forecast, the typhoon will approach the Kyushu area around midnight this evening.",0.9569387435913086,14,16
天気予報によると、台風は今夜半頃、九州地方に接近するそうです。,"According to a weather broadcast, typhoon is near region in Kyusyu tonight.",The weather repot says that the typhoon is going to hit the Kyusyu area around midnight.,"According to the weather forecast, the typhoon will approach the Kyushu area around midnight this evening.",0.6443769335746765,12,16
天気予報によると、台風は今夜半頃、九州地方に接近するそうです。,The weather report says that the typhoon will arrive in the Kyushu area around midnight tonight.,The weather repot says that the typhoon is going to hit the Kyusyu area around midnight.,"According to the weather forecast, the typhoon will approach the Kyushu area around midnight this evening.",0.8921553492546082,16,16
東京の気候は私の故郷よりもはるかに穏やかだ。,The climate of Tokyo is much milder than that of my hometown.,The climate in Tokyo is much milder than that in my hometown.,The climate in Tokyo is much milder than in my hometown.,0.974951982498169,12,11
東京の気候は私の故郷よりもはるかに穏やかだ。,The climate in Tokyo is much milder than in my hometown.,The climate in Tokyo is much milder than that in my hometown.,The climate in Tokyo is much milder than in my hometown.,0.9999998807907104,11,11
東京の気候は私の故郷よりもはるかに穏やかだ。,The climate in Tokyo is milder than that is in my hometown.,The climate in Tokyo is much milder than that in my hometown.,The climate in Tokyo is much milder than in my hometown.,0.9788606762886047,12,11
今年の冬は例年になく雪が多い。,"This winter, we have much more snow than usual.",We’ve had more snow than usual this winter.,This winter has been unusually snowy.,0.7846366167068481,9,6
今年の冬は例年になく雪が多い。,It unprecedentedly snows a lot this year.,We’ve had more snow than usual this winter.,This winter has been unusually snowy.,0.7030510306358337,7,6
