ID,Japanese,Correct,English,label,grammarly, 
12,学校を休んで家にいれば、彼は数日中に風邪が治るに違いない。,"If he stays home from school for a few days, he will get over his cold.","If he is absent from school and stays home, he must be able to get over his cold within a few days.",111,"If he is absent from school and stays home, he must be able to get over his cold within a few days.", 
13,日本を訪れる外国人観光客は年々増えている。,Every year more and more foreign tourists are visiting Japan.,Foreign tourist to visit Japan increase year by year.,11,Foreign tourists visiting Japan increase year by year., 
13,日本を訪れる外国人観光客は年々増えている。,Every year more and more foreign tourists are visiting Japan.,The number of foreigners visiting Japan is increasing year by year.,111,The number of foreigners visiting Japan is increasing year by year., 
13,日本を訪れる外国人観光客は年々増えている。,Every year more and more foreign tourists are visiting Japan.,The number of foreign tourists who visit Japan is increasing.,111,The number of foreign tourists who visit Japan is increasing., 
13,日本を訪れる外国人観光客は年々増えている。,Every year more and more foreign tourists are visiting Japan.,The number of visitors from foreigen countries to Japan is increasing year by year.,110,The number of visitors from foreign countries to Japan is increasing year by year., 
13,日本を訪れる外国人観光客は年々増えている。,Every year more and more foreign tourists are visiting Japan.,It is yearly incline that other country tourists visit Japan.,101,It is a yearly incline that other country tourists visit Japan., 
14,私はおととしの夏、江ノ島に海水浴に行った。,I went swimming in Enoshima the summer before last.,"I went to Enoshima for the swimming the summer before last,",111,"I went to Enoshima for the swimming the summer before last,", 
14,私はおととしの夏、江ノ島に海水浴に行った。,I went swimming in Enoshima the summer before last.,I went to Enoshima for sea bathing in summer two years ago.,111,I went to Enoshima for sea bathing in summer two years ago., 
14,私はおととしの夏、江ノ島に海水浴に行った。,I went swimming in Enoshima the summer before last.,I went to Enoshima to swim in the summer before last year.,111,I went to Enoshima to swim in the summer before last year., 
14,私はおととしの夏、江ノ島に海水浴に行った。,I went swimming in Enoshima the summer before last.,"In the summmer two years ago, I went bathing to Enoshima beach.",10,"In the summer two years ago, I went bathing at Enoshima beach.", 
14,私はおととしの夏、江ノ島に海水浴に行った。,I went swimming in Enoshima the summer before last.,I went to swin at Enoshima the summer before last year.,110,I went swimming at Enoshima the summer before last year., 
15,この頃、ほとんどの用事は携帯電話で済ませてしまう人が多い。,Nowadays many people get almost everything done by using their cellphones.,"These days, many people do most of their business with their cellphones.",101,"These days, many people do most of their business with their cell phones.", 
15,この頃、ほとんどの用事は携帯電話で済ませてしまう人が多い。,Nowadays many people get almost everything done by using their cellphones.,"In these days, a lot of people do every thing with cell phone.",0,"These days, a lot of people do everything with cell phones.", 
15,この頃、ほとんどの用事は携帯電話で済ませてしまう人が多い。,Nowadays many people get almost everything done by using their cellphones.,"These days, many people use their mobile phones to do most work they have to.",111,"These days, many people use their mobile phones to do most work they have to do.", 
15,この頃、ほとんどの用事は携帯電話で済ませてしまう人が多い。,Nowadays many people get almost everything done by using their cellphones.,"In these days, most of the things can be done by mobile phones.",1,"These days, most things can be done by mobile phones.", 
15,この頃、ほとんどの用事は携帯電話で済ませてしまう人が多い。,Nowadays many people get almost everything done by using their cellphones.,"Recently, many people do most of their work by using thier cellphone.",100,"Recently, many people do most of their work by using their cellphone.", 
16,この二か月で内閣支持率を急上昇した。,The approval rating for the Cabinet has been rising sharply for the last two months.,The Cabinet's approval rating has soared sicce the past two months.,110,The Cabinet's approval rating has soared over the past two months., 
16,この二か月で内閣支持率を急上昇した。,The approval rating for the Cabinet has been rising sharply for the last two months.,Number of person agree with minister increased in this two month.,1,The number of people who agree with the minister increased in these two months., 
16,この二か月で内閣支持率を急上昇した。,The approval rating for the Cabinet has been rising sharply for the last two months.,"In the last two months, the rate of support for the government increased rapidly.",101,"In the last two months, the rate of support for the government increased rapidly.", 
16,この二か月で内閣支持率を急上昇した。,The approval rating for the Cabinet has been rising sharply for the last two months.,The supportive rate for the government has surged in these two months.,101,The supportive rate for the government has surged in these two months., 
16,この二か月で内閣支持率を急上昇した。,The approval rating for the Cabinet has been rising sharply for the last two months.,The rating ofis increased rapidly in this two months.,1,The rating of is increased rapidly in these two months., 
17,朝起きたら最初に何をしますか。,What is the first thing you do after you get up?,"What do you do first ,when you wake up the morning?",11,"What do you do first, when you wake up in the morning?", 
17,朝起きたら最初に何をしますか。,What is the first thing you do after you get up?,What do you do first when you get up.,111,What do you do first when you get up., 
17,朝起きたら最初に何をしますか。,What is the first thing you do after you get up?,What do you do first when you wake up in the morning?,111,What do you do first when you wake up in the morning?, 
17,朝起きたら最初に何をしますか。,What is the first thing you do after you get up?,What to do first in the morning.,101,What to do first in the morning., 
17,朝起きたら最初に何をしますか。,What is the first thing you do after you get up?,What do you do first when you wake up in the morning?,111,What do you do first when you wake up in the morning?, 
18,それは秘密にしておいた方が良い,You should leave it unsaid.,It is better that is secret.,111,It is better that is secret., 
18,それは秘密にしておいた方が良い,You should leave it unsaid.,You had better keep it a secret.,111,You had better keep it a secret., 
18,それは秘密にしておいた方が良い,You should leave it unsaid.,You had better keep it a secret.,111,You had better keep it a secret., 
18,それは秘密にしておいた方が良い,You should leave it unsaid.,It's better to keep it a secret.,111,It's better to keep it a secret., 
18,それは秘密にしておいた方が良い,You should leave it unsaid.,It is better for you to keep it secret.,111,It is better for you to keep it secret., 
19,大臣は前言の撤回をせざるをえなかった。,The minister had to admit that what he said was wrong.,The minister had no choice but to take back what he had said.,111,The minister had no choice but to take back what he had said., 
19,大臣は前言の撤回をせざるをえなかった。,The minister had to admit that what he said was wrong.,The minister had to withdrae his comment.,100,The minister had to withdraw his comment., 
19,大臣は前言の撤回をせざるをえなかった。,The minister had to admit that what he said was wrong.,The minister had no way except taking back what he said.,11,The minister had no way except to take back what he said., 
19,大臣は前言の撤回をせざるをえなかった。,The minister had to admit that what he said was wrong.,The minister had to admit what he said was wrong.,111,The minister had to admit what he said was wrong., 
19,大臣は前言の撤回をせざるをえなかった。,The minister had to admit that what he said was wrong.,The minister forced to cancel previous opinion.,1,The minister was forced to cancel the previous opinion., 
20,彼女を失ってはじめて、お金では買えないものがあることを知った。,I had thought I could buy anything with money until I lost her.,"After I lost her, I realized that there was something money couldn't buy for the first time.",111,"After I lost her, I realized that there was something money couldn't buy for the first time.", 
20,彼女を失ってはじめて、お金では買えないものがあることを知った。,I had thought I could buy anything with money until I lost her.,I knew there is a thing not to buy money to lose her.,101,I knew there is a thing not to buy money to lose her., 
20,彼女を失ってはじめて、お金では買えないものがあることを知った。,I had thought I could buy anything with money until I lost her.,I noticed of that there is something that cannnot buy in the first time after breaking up with my girlfriend.,1,I noticed that there is something that can not buy for the first time after breaking up with my girlfriend., 
20,彼女を失ってはじめて、お金では買えないものがあることを知った。,I had thought I could buy anything with money until I lost her.,"Only when I had lost her, I knew that there are things that I can't buy with money.",111,"Only when I had lost her, did I know that there are things that I can't buy with money.", 
20,彼女を失ってはじめて、お金では買えないものがあることを知った。,I had thought I could buy anything with money until I lost her.,I lost her and this was the first time for me to find out that there was cashless.,101,I lost her and this was the first time for me to find out that there was cashless., 
21,円高のおかげで、最近は海外旅行が安くできるようになった。,"Thanks to the strong yen, we can travel abroad for less money these days.","Recentlly, It be abel to take abroad trips cheeply couse preousiou en.",0,"Recently, It is able to take abroad trips cheaply course precision en.", 
21,円高のおかげで、最近は海外旅行が安くできるようになった。,"Thanks to the strong yen, we can travel abroad for less money these days.","Thanks to the increase of yen's value, we can travel abroad at a lower price.",11,"Thanks to the increase in yen's value, we can travel abroad at a lower price.", 
21,円高のおかげで、最近は海外旅行が安くできるようになった。,"Thanks to the strong yen, we can travel abroad for less money these days.","Thanks to the strong yen, you can enjoy traveling abroad in low prices recently.",11,"Thanks to the strong yen, you can enjoy traveling abroad at low prices recently.", 
21,円高のおかげで、最近は海外旅行が安くできるようになった。,"Thanks to the strong yen, we can travel abroad for less money these days.","Thanks to the strong yen, it has become possible to travel abroad cheaply in these days.",11,"Thanks to the strong yen, it has become possible to travel abroad cheaply these days.", 
21,円高のおかげで、最近は海外旅行が安くできるようになった。,"Thanks to the strong yen, we can travel abroad for less money these days.","Recently, someone can go abroad to expensive yen.",101,"Recently, someone can go abroad to expensive yen.", 
22,この箱を運ぶのにちょっと手を貸していただけませんか。,Could you give me a hand with this box?,Please help me to carry this box.,101,Please help me to carry this box., 
22,この箱を運ぶのにちょっと手を貸していただけませんか。,Could you give me a hand with this box?,Could you help me carry yhis box.,100,Could you help me carry this box?, 
22,この箱を運ぶのにちょっと手を貸していただけませんか。,Could you give me a hand with this box?,Could you give me a hand to bring this box.,11,Could you give me a hand to bring this box?, 
22,この箱を運ぶのにちょっと手を貸していただけませんか。,Could you give me a hand with this box?,Could you please help us to bring this box?,101,Could you please help us to bring this box?, 
22,この箱を運ぶのにちょっと手を貸していただけませんか。,Could you give me a hand with this box?,please help me to carrying the box.,1,please help me to carry the box., 
23,その店で買い物をしていたら、旧友のジムに会いました。,"I was shopping I ran into Jim, an old friend of mine.","When I was shopping, I met old friend, Jim.",111,"When I was shopping, I met an old friend, Jim.", 
23,その店で買い物をしていたら、旧友のジムに会いました。,"I was shopping I ran into Jim, an old friend of mine.","While I went shopping at that store, I met an old friend,Jim.",111,"While I went shopping at that store, I met an old friend, Jim.", 
23,その店で買い物をしていたら、旧友のジムに会いました。,"I was shopping I ran into Jim, an old friend of mine.","I was shopping at that store, I met old friend Jim. ",111,"I was shopping at that store, I met old friend Jim. ", 
23,その店で買い物をしていたら、旧友のジムに会いました。,"I was shopping I ran into Jim, an old friend of mine.","I met Jim who is my old friend, when I bought someone in it's store.",100,I met Jim who is my old friend when I bought someone in its store., 
23,その店で買い物をしていたら、旧友のジムに会いました。,"I was shopping I ran into Jim, an old friend of mine.","When I was shopping this store, I met Jim of old friend.",111,"When I was shopping in this store, I met Jim of an old friend.", 
24,火災が発生してから30分後に消防隊が到着した。,The fire brigade arrived 30 minutes after the fire broke out.,Fire men came at burns place 30 minuts later.,0,Firemen came to the place of the burn 30 minutes later., 
24,火災が発生してから30分後に消防隊が到着した。,The fire brigade arrived 30 minutes after the fire broke out.,Firefighters arrived 30 minutes after the fire accident broke out.,111,Firefighters arrived 30 minutes after the fire accident broke out., 
24,火災が発生してから30分後に消防隊が到着した。,The fire brigade arrived 30 minutes after the fire broke out.,The firefighters arrived after the fire got started.,101,The firefighters arrived after the fire got started., 
24,火災が発生してから30分後に消防隊が到着した。,The fire brigade arrived 30 minutes after the fire broke out.,Firemen reached 30 minitues after the fire happened.,110,Firemen reached 30 minutes after the fire happened., 
24,火災が発生してから30分後に消防隊が到着した。,The fire brigade arrived 30 minutes after the fire broke out.,it have arrived at 30 minutes later since causingfire.,0,it has arrived 30 minutes later since causing a fire., 
25,ホワイト氏は、四人家族を養うために一生懸命働いた。,Mr. White worked hard to support a family of four.,Mr.White worked hard to feed his four family.,110,Mr.White worked hard to feed his four families., 
25,ホワイト氏は、四人家族を養うために一生懸命働いた。,Mr. White worked hard to support a family of four.,Mr. White worked hard in order to taking care of his family of 4.,11,Mr. White worked hard in order to take care of his family of 4., 
25,ホワイト氏は、四人家族を養うために一生懸命働いた。,Mr. White worked hard to support a family of four.,"Mr,White worked hardly to feed his family of 4. ",11,"Mr, White worked hard to feed his family of 4. ", 
25,ホワイト氏は、四人家族を養うために一生懸命働いた。,Mr. White worked hard to support a family of four.,White-san worked hard to support his family of four.,111,White-san worked hard to support his family of four., 
25,ホワイト氏は、四人家族を養うために一生懸命働いた。,Mr. White worked hard to support a family of four.,"Mr,white worked hard to grow four person family.",101,"Mr, White worked hard to grow a four-person family.", 
26,赤ちゃんが目を覚まさないように、私はそっと歩いた。,I crept around so as not to wake up the baby.,I walked softly so that the baby wouldn't wake up.,111,I walked softly so that the baby wouldn't wake up., 
26,赤ちゃんが目を覚まさないように、私はそっと歩いた。,I crept around so as not to wake up the baby.,I walked slowly not to wake up baby.,111,I walked slowly not to wake up baby., 
26,赤ちゃんが目を覚まさないように、私はそっと歩いた。,I crept around so as not to wake up the baby.,I walked slowly to not wake the baby up.,11,I walked slowly to not wake to the baby up., 
26,赤ちゃんが目を覚まさないように、私はそっと歩いた。,I crept around so as not to wake up the baby.,I walked quietly not to awake the baby.,110,I walked quietly not to wake the baby., 
26,赤ちゃんが目を覚まさないように、私はそっと歩いた。,I crept around so as not to wake up the baby.,I walked quietly so that the baby wouldn't wake up.,111,I walked quietly so that the baby wouldn't wake up., 
27,この歌を聞くといつも私たちが過ごしたニューヨークの日々を思い出す。,"When I hear this song, I’m always reminded of the days when we lived in New York.",This song make me remember to presious memory when we had stayed N.Y.,010,This song makes me remember to precious memory when we had stayed in N.Y., 
27,この歌を聞くといつも私たちが過ごしたニューヨークの日々を思い出す。,"When I hear this song, I’m always reminded of the days when we lived in New York.","When I was listen to the music, I recognized the days in New York.",1,"When I was listening to the music, I recognized the days in New York.", 
27,この歌を聞くといつも私たちが過ごしたニューヨークの日々を思い出す。,"When I hear this song, I’m always reminded of the days when we lived in New York.",This song always reminds me of the day we epend in New York.,110,This song always reminds me of the day we spend in New York., 
27,この歌を聞くといつも私たちが過ごしたニューヨークの日々を思い出す。,"When I hear this song, I’m always reminded of the days when we lived in New York.","Whenever I hear this song, which reminds me the days we spend in New York.",11,"Whenever I hear this song, which reminds me of the days we spend in New York.", 
27,この歌を聞くといつも私たちが過ごしたニューヨークの日々を思い出す。,"When I hear this song, I’m always reminded of the days when we lived in New York.","Whenever I hear this song, I remember the days I spent in New York.",111,"Whenever I hear this song, I remember the days I spent in New York.", 
28,自分の故郷に少しも愛情を感じない人はめったにいません。,Most people love their hometown.,It is strang that no tenderlling own home.,0,It is strange that no tendering own home., 
28,自分の故郷に少しも愛情を感じない人はめったにいません。,Most people love their hometown.,There is rarely noone who doesn't have even a little love towards their own hometown.,110,There is rarely anyone who doesn't have even a little love towards their own hometown., 
28,自分の故郷に少しも愛情を感じない人はめったにいません。,Most people love their hometown.,Hardly ever don't feel emotions own town.,101,Hardly ever don't feel emotions own town., 
28,自分の故郷に少しも愛情を感じない人はめったにいません。,Most people love their hometown.,Few people feel no affection for their hometown.,111,Few people feel no affection for their hometown., 
28,自分の故郷に少しも愛情を感じない人はめったにいません。,Most people love their hometown.,It is rare person that one's hometown do not feel in love.,11,It is a rare person that one's hometown does not feel in love., 
29,君が大学に合格するかどうかは今後1年間の君の勉強量にかかっている。,Whether you pass the university entrance exam or not will depend on how much work you do over the coming year.,"If you want to pass exam of uni, you should be sutdy hard.",0,"If you want to pass the exam of uni, you should be studying hard.", 
29,君が大学に合格するかどうかは今後1年間の君の勉強量にかかっている。,Whether you pass the university entrance exam or not will depend on how much work you do over the coming year.,It depends on the amount of study you do in the next one year whether you pass the exam of college.,111,It depends on the amount of study you do in the next year whether you pass the exam of college., 
29,君が大学に合格するかどうかは今後1年間の君の勉強量にかかっている。,Whether you pass the university entrance exam or not will depend on how much work you do over the coming year.,Whether you pass the entrance exam for the university or not will be up to how mucu you study hard next one year.,110,Whether you pass the entrance exam for the university or not will be up to how much you study hard next one year., 
29,君が大学に合格するかどうかは今後1年間の君の勉強量にかかっている。,Whether you pass the university entrance exam or not will depend on how much work you do over the coming year.,Whether you pass the test for univercity depends on your amount of study over the next year.,110,Whether you pass the test for university depends on your amount of study over the next year., 
29,君が大学に合格するかどうかは今後1年間の君の勉強量にかかっている。,Whether you pass the university entrance exam or not will depend on how much work you do over the coming year.,you do amount of the studying whether to pass university.,1,you do the amount of the studying whether to pass university., 
30,丁寧に手を洗うことが、ばい菌の広がりを食い止める最良の方法である。,The best way to prevent the spread of germs is to wash your hands thoroughly.,Washing your hands carefully is the best way to stop the spread of germs.,111,Washing your hands carefully is the best way to stop the spread of germs., 
30,丁寧に手を洗うことが、ばい菌の広がりを食い止める最良の方法である。,The best way to prevent the spread of germs is to wash your hands thoroughly.,to wash hands politely is the best way to stop movement of bacteria. ,11,to wash hands politely is the best way to stop the movement of bacteria. , 
30,丁寧に手を洗うことが、ばい菌の広がりを食い止める最良の方法である。,The best way to prevent the spread of germs is to wash your hands thoroughly.,Washing hands cleanly is the best way to prevent to not spread virus.,11,Washing hands cleanly is the best way to prevent not spread of the virus., 
30,丁寧に手を洗うことが、ばい菌の広がりを食い止める最良の方法である。,The best way to prevent the spread of germs is to wash your hands thoroughly.,Washing your hands neatly is the best way to curb the spreading of germs.,111,Washing your hands neatly is the best way to curb the spreading of germs., 
