ID,出題文,学習者訳,正解文,翻訳文,label,誤り単語,補足
9,都市が過密になっている理由は、給料のよい仕事がたくさんあるからです。,Big cities are too crowded because people can find many well-paid jobs there.,The reason why cities are overcrowded is that there are many well-paying jobs.,The reason cities are overcrowded is because there are so many good-paying jobs available.,2,都市、過密,
9,都市が過密になっている理由は、給料のよい仕事がたくさんあるからです。,"There are expensive jobs, so city is too crowded.",The reason why cities are overcrowded is that there are many well-paying jobs.,The reason cities are overcrowded is because there are so many good-paying jobs available.,0,給料のよい,過密？
9,都市が過密になっている理由は、給料のよい仕事がたくさんあるからです。,Too many people live in the cities because there are lots of nice high-salary jobs.,The reason why cities are overcrowded is that there are many well-paying jobs.,The reason cities are overcrowded is because there are so many good-paying jobs available.,2,過密,
9,都市が過密になっている理由は、給料のよい仕事がたくさんあるからです。,The reason why the city is crowded is there are a lot of good paying jobs.,The reason why cities are overcrowded is that there are many well-paying jobs.,The reason cities are overcrowded is because there are so many good-paying jobs available.,0,過密,
9,都市が過密になっている理由は、給料のよい仕事がたくさんあるからです。,Too many people come to the city because they can earn more than local city .,The reason why cities are overcrowded is that there are many well-paying jobs.,The reason cities are overcrowded is because there are so many good-paying jobs available.,0,過密、給料のよい,余分のケース
10,医療の向上のおかげで、多くの国で平均寿命が高くなりました。,Medical improvement has enabled people to live longer in many countries.,"Thanks to medical advances,the average life expectancy has increased in many countries.","Thanks to improvements in medical care, life expectancy is higher in many countries.",0,平均寿命,
10,医療の向上のおかげで、多くの国で平均寿命が高くなりました。,"Thanks to the quality of medication is raised, the life expectancy  is increasing in many countries.","Thanks to medical advances,the average life expectancy has increased in many countries.","Thanks to improvements in medical care, life expectancy is higher in many countries.",0,医療、向上,
10,医療の向上のおかげで、多くの国で平均寿命が高くなりました。,"Thanks to the medical improvement, people live longer in many countries.","Thanks to medical advances,the average life expectancy has increased in many countries.","Thanks to improvements in medical care, life expectancy is higher in many countries.",0,平均寿命,
10,医療の向上のおかげで、多くの国で平均寿命が高くなりました。,"Because of Improving medical technology, life expectancy has increased in a lot of countries.","Thanks to medical advances,the average life expectancy has increased in many countries.","Thanks to improvements in medical care, life expectancy is higher in many countries.",2,,
10,医療の向上のおかげで、多くの国で平均寿命が高くなりました。,"Medical is better,so people live long in many coutries.","Thanks to medical advances,the average life expectancy has increased in many countries.","Thanks to improvements in medical care, life expectancy is higher in many countries.",0,向上、平均寿命、国,
11,独創性はビジネスの成功にとって決定的な要素です。,You must be creative to succeed in business.,Creativity is a crucial factor for business success.,Originality is a decisive factor for business success.,0,独創性、決定的、要素,
11,独創性はビジネスの成功にとって決定的な要素です。,Originarity is a important factor for buisiness sucusess.,Creativity is a crucial factor for business success.,Originality is a decisive factor for business success.,0,独創性,
11,独創性はビジネスの成功にとって決定的な要素です。,The Uniquness is need to succeed for business.,Creativity is a crucial factor for business success.,Originality is a decisive factor for business success.,0,独創性、決定的、要素,
11,独創性はビジネスの成功にとって決定的な要素です。,Creativity is the definate talent for business success.,Creativity is a crucial factor for business success.,Originality is a decisive factor for business success.,0,要素,
11,独創性はビジネスの成功にとって決定的な要素です。,Originality is a neccesary element for succeding in businesses.,Creativity is a crucial factor for business success.,Originality is a decisive factor for business success.,0,成功,
12,娯楽目的の大麻を合法化する国が増えてきました。,Leisurely use of cannabis has been admitted in many countries recently.,An increasing number of countries have legalized marijuna for recreational use.,More and more countries are legalizing marijuana for recreational purposes.,0,合法化、娯楽目的,
12,娯楽目的の大麻を合法化する国が増えてきました。,More coutries are allowed drugs for entertainment.,An increasing number of countries have legalized marijuna for recreational use.,More and more countries are legalizing marijuana for recreational purposes.,0,合法、国、,大麻？
12,娯楽目的の大麻を合法化する国が増えてきました。,The number of countries legalizing majuriana just for recreational purposes has been increaseing.,An increasing number of countries have legalized marijuna for recreational use.,More and more countries are legalizing marijuana for recreational purposes.,0,大麻、増えて,
12,娯楽目的の大麻を合法化する国が増えてきました。,More countries have made it legal to use cannabis for fun.,An increasing number of countries have legalized marijuna for recreational use.,More and more countries are legalizing marijuana for recreational purposes.,2,娯楽目的,
12,娯楽目的の大麻を合法化する国が増えてきました。,妹にやってもらう,An increasing number of countries have legalized marijuna for recreational use.,More and more countries are legalizing marijuana for recreational purposes.,,,
13,お客様が安心できるように、多くのレストランが衛生対策を導入してきました。,A lot of restaurant makes a rules for cleaning for customers.,Many restaurants have introduced hygiene measures in order to customers to feel safe.,Many restaurants have introduced sanitation measures to ensure the safety of their customers.,0,衛生,導入
13,お客様が安心できるように、多くのレストランが衛生対策を導入してきました。,Many restaurants have been careful of cleaning for customor safe.,Many restaurants have introduced hygiene measures in order to customers to feel safe.,Many restaurants have introduced sanitation measures to ensure the safety of their customers.,0,衛生、対策、お客様,
13,お客様が安心できるように、多くのレストランが衛生対策を導入してきました。,Many restaurants have introduced sanitary means for sustomers relief.,Many restaurants have introduced hygiene measures in order to customers to feel safe.,Many restaurants have introduced sanitation measures to ensure the safety of their customers.,0,対策、お客様,
13,お客様が安心できるように、多くのレストランが衛生対策を導入してきました。,Many restaurants have introduced sanitary means so sustomers will be relieved.,Many restaurants have introduced hygiene measures in order to customers to feel safe.,Many restaurants have introduced sanitation measures to ensure the safety of their customers.,0,対策、お客様,
13,お客様が安心できるように、多くのレストランが衛生対策を導入してきました。,A lot of restaurants introduce hygiene measures for peace of minding their customers.,Many restaurants have introduced hygiene measures in order to customers to feel safe.,Many restaurants have introduced sanitation measures to ensure the safety of their customers.,2,,
14,将来の就職の選択肢が増えるように、学生はさまざまな分野に興味を持っておくべきです。,"Students should be interested in many different things. So, they can choose from any jobs in the future.",Students should take an interest in various fields so that they can have more career options in the feature.,Students should be interested in a variety of fields so that they have more options for future employment.,0,,分野
14,将来の就職の選択肢が増えるように、学生はさまざまな分野に興味を持っておくべきです。,Students should have interestings for many fields to increase future options.,Students should take an interest in various fields so that they can have more career options in the feature.,Students should be interested in a variety of fields so that they have more options for future employment.,0,就職,
14,将来の就職の選択肢が増えるように、学生はさまざまな分野に興味を持っておくべきです。,Students should have interest in various fields so that they will have more career choices. ,Students should take an interest in various fields so that they can have more career options in the feature.,Students should be interested in a variety of fields so that they have more options for future employment.,2,,就職
14,将来の就職の選択肢が増えるように、学生はさまざまな分野に興味を持っておくべきです。,Students should have interests in various fields to increase their choices of future jobs.,Students should take an interest in various fields so that they can have more career options in the feature.,Students should be interested in a variety of fields so that they have more options for future employment.,2,,
14,将来の就職の選択肢が増えるように、学生はさまざまな分野に興味を持っておくべきです。,Students need to have interest in various fields for more career choices in the future. ,Students should take an interest in various fields so that they can have more career options in the feature.,Students should be interested in a variety of fields so that they have more options for future employment.,2,,就職
15,不健康な食事と運動不足のために、肥満の人が増えてきています。,The number of obese people has been increasing due to luck of exercise and unhealthy diet.,An increasing number of people are becoming overweught because eat unhealty foods and spend to little time on exercise.,"Due to unhealthy diets and lack of exercise, more and more people are becoming obese.",2,,
15,不健康な食事と運動不足のために、肥満の人が増えてきています。,"Because of the unhealthy meal and lack of exercises, many people become obesity.",An increasing number of people are becoming overweught because eat unhealty foods and spend to little time on exercise.,"Due to unhealthy diets and lack of exercise, more and more people are becoming obese.",2,,
15,不健康な食事と運動不足のために、肥満の人が増えてきています。,More and more people have been obese owing to unhealthy diet and less exercise.,An increasing number of people are becoming overweught because eat unhealty foods and spend to little time on exercise.,"Due to unhealthy diets and lack of exercise, more and more people are becoming obese.",2,,
15,不健康な食事と運動不足のために、肥満の人が増えてきています。,Unhealthy diet and less exercise have made more people fat.,An increasing number of people are becoming overweught because eat unhealty foods and spend to little time on exercise.,"Due to unhealthy diets and lack of exercise, more and more people are becoming obese.",2,,肥満
15,不健康な食事と運動不足のために、肥満の人が増えてきています。,There are too fat people because of healtyless meals and not exercise.,An increasing number of people are becoming overweught because eat unhealty foods and spend to little time on exercise.,"Due to unhealthy diets and lack of exercise, more and more people are becoming obese.",0,不健康、肥満,
16,最近の子供はたちは、栄養の偏りがひどいです。,Children these days are not healthy.,Children these days have a nutritionally unbalanced diet.,Children these days are severely malnourished.,0,栄養、偏り、ひどい,
16,最近の子供はたちは、栄養の偏りがひどいです。,Recent children are not enough ballanced meals.,Children these days have a nutritionally unbalanced diet.,Children these days are severely malnourished.,0,偏り,
16,最近の子供はたちは、栄養の偏りがひどいです。,Children's nutrition intake is terrible these days.,Children these days have a nutritionally unbalanced diet.,Children these days are severely malnourished.,0,偏り,
16,最近の子供はたちは、栄養の偏りがひどいです。,Children have taken nourishment poorly these days.,Children these days have a nutritionally unbalanced diet.,Children these days are severely malnourished.,0,偏り,
16,最近の子供はたちは、栄養の偏りがひどいです。,"Recently, children has severely unbalanced nutrition.",Children these days have a nutritionally unbalanced diet.,Children these days are severely malnourished.,2,,
17,最近の若者の犯罪の増加の傾向は、社会にとっての重大な関心事です。,The increase of recent juvenile deliquency is a promary concern in this society.,The recent increase in the number of crimes commited by young adults is a serious concern for society.,The recent trend of increasing crime among young people is of grave concern to society.,0,犯罪、とって、重大な,
17,最近の若者の犯罪の増加の傾向は、社会にとっての重大な関心事です。,The number of crimes by youngsters has been increasing and it is a serious concern in the society.,The recent increase in the number of crimes commited by young adults is a serious concern for society.,The recent trend of increasing crime among young people is of grave concern to society.,2,,
17,最近の若者の犯罪の増加の傾向は、社会にとっての重大な関心事です。,"The crime rate of young people is increasing, and it is the most interesting thing in society.",The recent increase in the number of crimes commited by young adults is a serious concern for society.,The recent trend of increasing crime among young people is of grave concern to society.,0,重大な,rateいる？
17,最近の若者の犯罪の増加の傾向は、社会にとっての重大な関心事です。,"The crimes by young people have increased recently, which is a serious concern in the society.",The recent increase in the number of crimes commited by young adults is a serious concern for society.,The recent trend of increasing crime among young people is of grave concern to society.,2,,
17,最近の若者の犯罪の増加の傾向は、社会にとっての重大な関心事です。,Increasing crimes for recent young people is a important trend for social.,The recent increase in the number of crimes commited by young adults is a serious concern for society.,The recent trend of increasing crime among young people is of grave concern to society.,0,関心ごと,
18,学校の校則の厳格化に対する不満の高まりは、多数の学生の非行の原因となりました。,Making school rules strict caused many students to be upset and behave improperly.,"As the school regulations became stricter,many students felt frustrated and started to misbenhave.",Growing dissatisfaction with stricter school rules has contributed to the delinquency of a large number of students.,0,不満(の高まり),非行、対するが下5つない。(正解文もない)
18,学校の校則の厳格化に対する不満の高まりは、多数の学生の非行の原因となりました。,The strict rules of the school cause many students got violent.,"As the school regulations became stricter,many students felt frustrated and started to misbenhave.",Growing dissatisfaction with stricter school rules has contributed to the delinquency of a large number of students.,0,不満(の高まり)、,非行
18,学校の校則の厳格化に対する不満の高まりは、多数の学生の非行の原因となりました。,Many students broke school rules because of having complains for getting tough of it.,"As the school regulations became stricter,many students felt frustrated and started to misbenhave.",Growing dissatisfaction with stricter school rules has contributed to the delinquency of a large number of students.,0,不満、非行等多数,
18,学校の校則の厳格化に対する不満の高まりは、多数の学生の非行の原因となりました。,Schools made their rules strict and it caused many students to be furious and misconduct.,"As the school regulations became stricter,many students felt frustrated and started to misbenhave.",Growing dissatisfaction with stricter school rules has contributed to the delinquency of a large number of students.,0,不満(の高まり),
18,学校の校則の厳格化に対する不満の高まりは、多数の学生の非行の原因となりました。,A lot of students have caused deliquencies because of the increase of their compleints about strict school rules.,"As the school regulations became stricter,many students felt frustrated and started to misbenhave.",Growing dissatisfaction with stricter school rules has contributed to the delinquency of a large number of students.,0,不満(の高まり)、非行,
19,学生は、しばしば自分の国の古い神話を学びます。,Students often study about the myth of their country.,Students often study ancient myths from their own culuture.,Students often learn old myths about their country.,0,古い,
19,学生は、しばしば自分の国の古い神話を学びます。,"Sometimes, students learn the story of god in their country.",Students often study ancient myths from their own culuture.,Students often learn old myths about their country.,0,古い,
19,学生は、しばしば自分の国の古い神話を学びます。,Students often learn old myths of their country.,Students often study ancient myths from their own culuture.,Students often learn old myths about their country.,2,,
19,学生は、しばしば自分の国の古い神話を学びます。,Students often learn the old myths of their own country.,Students often study ancient myths from their own culuture.,Students often learn old myths about their country.,2,,
19,学生は、しばしば自分の国の古い神話を学びます。,Students often study their own countries' history.,Students often study ancient myths from their own culuture.,Students often learn old myths about their country.,0,神話,
20,自動車事故が原因でその男性は亡くなりました。,The man died because of the traffic accident.,The man was killed in a car accident.,The man died as a result of an automobile accident.,2,,
20,自動車事故が原因でその男性は亡くなりました。,The man was killed in a traffic accident.,The man was killed in a car accident.,The man died as a result of an automobile accident.,2,,
20,自動車事故が原因でその男性は亡くなりました。,The man was died because of the car accident.,The man was killed in a car accident.,The man died as a result of an automobile accident.,2,,
20,自動車事故が原因でその男性は亡くなりました。,The man died because of the car accident.,The man was killed in a car accident.,The man died as a result of an automobile accident.,2,,
20,自動車事故が原因でその男性は亡くなりました。,The man was killed by the traffic accident.,The man was killed in a car accident.,The man died as a result of an automobile accident.,2,,
21,政府は、その道路の制限速度を低くするべきです。,The government should lower the speed limit on the road.,The government should make the speed limit on the road lower.,The government should lower the speed limit on those roads.,2,,
21,政府は、その道路の制限速度を低くするべきです。,The government should take a rule to low the speed limit at that road.,The government should make the speed limit on the road lower.,The government should lower the speed limit on those roads.,0,制限,余分のケースかも
21,政府は、その道路の制限速度を低くするべきです。,Government should not tight speed of the road.,The government should make the speed limit on the road lower.,The government should lower the speed limit on those roads.,0,低く,notが余分かも
21,政府は、その道路の制限速度を低くするべきです。,The government should make a rule that makes strict speed of the road low.,The government should make the speed limit on the road lower.,The government should lower the speed limit on those roads.,0,制限,ruleいらないかも
21,政府は、その道路の制限速度を低くするべきです。,The speed limit on the road should be lowered by the government.,The government should make the speed limit on the road lower.,The government should lower the speed limit on those roads.,2,,
22,インフルエンザの季節には人込みに行くべきではありません。,We should not go to crowds in the season of infullenza.,people should not go into crowded places during the flu season.,You should not go to crowded places during flu season.,0,インフルエンザ、,
22,インフルエンザの季節には人込みに行くべきではありません。,You should not go into the crowd when the flu is in the air.,people should not go into crowded places during the flu season.,You should not go to crowded places during flu season.,0,季節,
22,インフルエンザの季節には人込みに行くべきではありません。,You should not be in crowded in flu epidemic season.,people should not go into crowded places during the flu season.,You should not go to crowded places during flu season.,2,,
22,インフルエンザの季節には人込みに行くべきではありません。,We are not supposed to go into the crowd while the flu is spreading.,people should not go into crowded places during the flu season.,You should not go to crowded places during flu season.,0,べきではない,
22,インフルエンザの季節には人込みに行くべきではありません。,We shouldn’t go to the crowded place when the season of flu.,people should not go into crowded places during the flu season.,You should not go to crowded places during flu season.,2,,
23,もしこの状況が続くならば、経済は悪くなるでしょう。,"If this situation continues, the economy will get worse.",The economy will worsen if this situation continues.,"If this situation continues, the economy will be worse off.",2,,
23,もしこの状況が続くならば、経済は悪くなるでしょう。,"If this situation continues, the economy will be worse.",The economy will worsen if this situation continues.,"If this situation continues, the economy will be worse off.",2,,
23,もしこの状況が続くならば、経済は悪くなるでしょう。,"If this situation goes on, the economic condition would get worse.",The economy will worsen if this situation continues.,"If this situation continues, the economy will be worse off.",2,,
23,もしこの状況が続くならば、経済は悪くなるでしょう。,"If this situation continues, the economy will get worse.",The economy will worsen if this situation continues.,"If this situation continues, the economy will be worse off.",2,,
23,もしこの状況が続くならば、経済は悪くなるでしょう。,"If this situation continue,the economy will be bad.",The economy will worsen if this situation continues.,"If this situation continues, the economy will be worse off.",2,,
24,卒業後に一度故郷を離れると、故郷に戻る可能性は低いものです。,"Once they leave their hometown after graduation, they rarely come back.","Once people have their hometown afer finishing scool,they are unlikey to return.","Once you leave your hometown after graduation, it is unlikely that you will return to it.",0,故郷,可能性は低い
24,卒業後に一度故郷を離れると、故郷に戻る可能性は低いものです。,"If you leave your hometown, you won't comeback your hometown.","Once people have their hometown afer finishing scool,they are unlikey to return.","Once you leave your hometown after graduation, it is unlikely that you will return to it.",0,卒業後、一度、可能性は低い,
24,卒業後に一度故郷を離れると、故郷に戻る可能性は低いものです。,"Once you leave your hometown after graduation, it is unlikely that you will return there.","Once people have their hometown afer finishing scool,they are unlikey to return.","Once you leave your hometown after graduation, it is unlikely that you will return to it.",2,,
24,卒業後に一度故郷を離れると、故郷に戻る可能性は低いものです。,"Once you part from your hometown, you will unlikely go back to your hometown.","Once people have their hometown afer finishing scool,they are unlikey to return.","Once you leave your hometown after graduation, it is unlikely that you will return to it.",0,卒業後,
24,卒業後に一度故郷を離れると、故郷に戻る可能性は低いものです。,"Once we leave hometown after graduate, we rarely go back.","Once people have their hometown afer finishing scool,they are unlikey to return.","Once you leave your hometown after graduation, it is unlikely that you will return to it.",2,可能性は低い,
25,プラスチックの使用は私たちの生活を便利にしましたが、それと同時に環境に大きな影響を与えました。,"Using plastics made our life easier,but it influense for envirment at the same time.","Although the use of plastics has made our lives convenient, it has also caused significant environmental damage.","The use of plastics has made our lives more convenient, but it has also had a significant impact on the environment.",0,影響を与える、環境,便利
25,プラスチックの使用は私たちの生活を便利にしましたが、それと同時に環境に大きな影響を与えました。,"You can live comfortably because of he use of prastic, but it also has a big influence on the environment.","Although the use of plastics has made our lives convenient, it has also caused significant environmental damage.","The use of plastics has made our lives more convenient, but it has also had a significant impact on the environment.",0,便利,
25,プラスチックの使用は私たちの生活を便利にしましたが、それと同時に環境に大きな影響を与えました。,"The use of plastic made our lives convenient, but at the same time it influenced the environment very much.","Although the use of plastics has made our lives convenient, it has also caused significant environmental damage.","The use of plastics has made our lives more convenient, but it has also had a significant impact on the environment.",2,,
25,プラスチックの使用は私たちの生活を便利にしましたが、それと同時に環境に大きな影響を与えました。,"Using plastics makes our life useful, but it also had a bad influence on environment.","Although the use of plastics has made our lives convenient, it has also caused significant environmental damage.","The use of plastics has made our lives more convenient, but it has also had a significant impact on the environment.",0,大きな,
25,プラスチックの使用は私たちの生活を便利にしましたが、それと同時に環境に大きな影響を与えました。,"The plastic use has made our lives convenient, but it has seriously affected the environment at the same time.","Although the use of plastics has made our lives convenient, it has also caused significant environmental damage.","The use of plastics has made our lives more convenient, but it has also had a significant impact on the environment.",2,,
26,科学者たちが絶え間なく努力しているにもかかわらず、毎年、何千もの種が絶滅しています。,"In spite of scientists' constant effort, thousands of species have disappeard every year.","Even though scientists are making continuous efforts to prevent it, thousands of species are dying out every yaer.","Despite the constant efforts of scientists, thousands of species become extinct each year.",0,絶滅,
26,科学者たちが絶え間なく努力しているにもかかわらず、毎年、何千もの種が絶滅しています。,"Every year, thousands of spieces have died even so scientists constantly make a good effort.","Even though scientists are making continuous efforts to prevent it, thousands of species are dying out every yaer.","Despite the constant efforts of scientists, thousands of species become extinct each year.",0,種、絶滅,
26,科学者たちが絶え間なく努力しているにもかかわらず、毎年、何千もの種が絶滅しています。,"Though scientists have made efforts constantly, thousands of species have died out every year.","Even though scientists are making continuous efforts to prevent it, thousands of species are dying out every yaer.","Despite the constant efforts of scientists, thousands of species become extinct each year.",2,,
26,科学者たちが絶え間なく努力しているにもかかわらず、毎年、何千もの種が絶滅しています。,"Sientists are making efforts always, but every year many thousant of spiecies get lost.","Even though scientists are making continuous efforts to prevent it, thousands of species are dying out every yaer.","Despite the constant efforts of scientists, thousands of species become extinct each year.",0,絶え間なく、絶滅、種,
26,科学者たちが絶え間なく努力しているにもかかわらず、毎年、何千もの種が絶滅しています。,"Even if scientists makes an effort to protect animals, but thousands of them died every year.","Even though scientists are making continuous efforts to prevent it, thousands of species are dying out every yaer.","Despite the constant efforts of scientists, thousands of species become extinct each year.",0,絶え間なく、種,protect animal余分
27,ぜいたく品に対する税金は増やされるべきである一方、生活必需品に対する税金は減らされるべきです。,The tax for indispensable things should be decreased while the tax for luxurious things should be increased.,"While taxes on luxury items should be raised,those on daily necessities should be reduced.",Taxes on luxuries should be increased while taxes on necessities should be decreased.,2,生活必需品,
27,ぜいたく品に対する税金は増やされるべきである一方、生活必需品に対する税金は減らされるべきです。,"The tax of luxury things should increase, but the tax of the things for daily life should reduce.","While taxes on luxury items should be raised,those on daily necessities should be reduced.",Taxes on luxuries should be increased while taxes on necessities should be decreased.,2,,
27,ぜいたく品に対する税金は増やされるべきである一方、生活必需品に対する税金は減らされるべきです。,The tax for indispensable things should be reduced while the tax for luxurious things should be raised.,"While taxes on luxury items should be raised,those on daily necessities should be reduced.",Taxes on luxuries should be increased while taxes on necessities should be decreased.,2,生活必需品,
27,ぜいたく品に対する税金は増やされるべきである一方、生活必需品に対する税金は減らされるべきです。,"The tax for luxury items should be increased. On the other hand, the tax for daily necessities should be decreased. ","While taxes on luxury items should be raised,those on daily necessities should be reduced.",Taxes on luxuries should be increased while taxes on necessities should be decreased.,2,,
27,ぜいたく品に対する税金は増やされるべきである一方、生活必需品に対する税金は減らされるべきです。,"While tax of luxurery goods should　increase, tax of nesesarry goods should decrease.","While taxes on luxury items should be raised,those on daily necessities should be reduced.",Taxes on luxuries should be increased while taxes on necessities should be decreased.,0,ぜいたく品、生活必需品,
28,そのスーパーで買ったりんごは値段が高かったです。,The apples I bought at the supermarket were expensive.,The apples sold at the supermarket were expensive.,The apples I bought at that supermarket were overpriced.,2,,
28,そのスーパーで買ったりんごは値段が高かったです。,Apples I bought in that supermaket were expensive.,The apples sold at the supermarket were expensive.,The apples I bought at that supermarket were overpriced.,0,スーパーマーケット,
28,そのスーパーで買ったりんごは値段が高かったです。,The price of the apple I bought in the super market was high.,The apples sold at the supermarket were expensive.,The apples I bought at that supermarket were overpriced.,2,,
