出題文,学習者,英語答え,翻訳,ラベル
日本を訪れる外国人観光客は年々増えている。,The number of foreign tourists who visit Japan is increasing.,Every year more and more foreign tourists are visiting Japan.,The number of foreign tourists visiting Japan is increasing every year.,1
日本を訪れる外国人観光客は年々増えている。,The number of visitors from foreign countries to Japan is increasing year by year.,Every year more and more foreign tourists are visiting Japan.,The number of foreign tourists visiting Japan is increasing every year.,1
私はおととしの夏、江ノ島に海水浴に行った。,"I went to Enoshima for the swimming the summer before last,",I went swimming in Enoshima the summer before last.,I went swimming in Enoshima the summer before last.,2
私はおととしの夏、江ノ島に海水浴に行った。,I went to Enoshima for sea bathing in summer two years ago.,I went swimming in Enoshima the summer before last.,I went swimming in Enoshima the summer before last.,2
私はおととしの夏、江ノ島に海水浴に行った。,I went to Enoshima to swim in the summer before last year.,I went swimming in Enoshima the summer before last.,I went swimming in Enoshima the summer before last.,2
私はおととしの夏、江ノ島に海水浴に行った。,"In the summer two years ago, I went bathing at Enoshima beach.",I went swimming in Enoshima the summer before last.,I went swimming in Enoshima the summer before last.,2
私はおととしの夏、江ノ島に海水浴に行った。,I went swimming at Enoshima the summer before last year.,I went swimming in Enoshima the summer before last.,I went swimming in Enoshima the summer before last.,2
この頃、ほとんどの用事は携帯電話で済ませてしまう人が多い。,"These days, many people use their mobile phones to do most work they have to do.",Nowadays many people get almost everything done by using their cellphones.,"These days, many people use their cell phones to run most of their errands.",1
この二か月で内閣支持率を急上昇した。,The Cabinet's approval rating has soared over the past two months.,The approval rating for the Cabinet has been rising sharply for the last two months.,"In the past two months, the Cabinet's approval rating has skyrocketed.",1
朝起きたら最初に何をしますか。,"What do you do first, when you wake up in the morning?",What is the first thing you do after you get up?,What is the first thing you do when you wake up in the morning?,1
朝起きたら最初に何をしますか。,What do you do first when you get up.,What is the first thing you do after you get up?,What is the first thing you do when you wake up in the morning?,0
朝起きたら最初に何をしますか。,What do you do first when you wake up in the morning?,What is the first thing you do after you get up?,What is the first thing you do when you wake up in the morning?,1
朝起きたら最初に何をしますか。,What do you do first when you wake up in the morning?,What is the first thing you do after you get up?,What is the first thing you do when you wake up in the morning?,1
それは秘密にしておいた方が良い,It is better that is secret.,You should leave it unsaid.,Better to keep that a secret.,1
それは秘密にしておいた方が良い,You had better keep it a secret.,You should leave it unsaid.,Better to keep that a secret.,1
それは秘密にしておいた方が良い,You had better keep it a secret.,You should leave it unsaid.,Better to keep that a secret.,1
それは秘密にしておいた方が良い,It's better to keep it a secret.,You should leave it unsaid.,Better to keep that a secret.,1
それは秘密にしておいた方が良い,It is better for you to keep it secret.,You should leave it unsaid.,Better to keep that a secret.,1
大臣は前言の撤回をせざるをえなかった。,The minister had no choice but to take back what he had said.,The minister had to admit that what he said was wrong.,The minister had to retract his previous statement.,0
大臣は前言の撤回をせざるをえなかった。,The minister had no way except to take back what he said.,The minister had to admit that what he said was wrong.,The minister had to retract his previous statement.,0
大臣は前言の撤回をせざるをえなかった。,The minister had to admit what he said was wrong.,The minister had to admit that what he said was wrong.,The minister had to retract his previous statement.,0
彼女を失ってはじめて、お金では買えないものがあることを知った。,"After I lost her, I realized that there was something money couldn't buy for the first time.",I had thought I could buy anything with money until I lost her.,Only after losing her did I realize that there are some things money can't buy.,1
彼女を失ってはじめて、お金では買えないものがあることを知った。,"Only when I had lost her, did I know that there are things that I can't buy with money.",I had thought I could buy anything with money until I lost her.,Only after losing her did I realize that there are some things money can't buy.,0
円高のおかげで、最近は海外旅行が安くできるようになった。,"Thanks to the increase in yen's value, we can travel abroad at a lower price.","Thanks to the strong yen, we can travel abroad for less money these days.","Thanks to the strong yen, it is now possible to travel abroad at a lower cost these days.",0
円高のおかげで、最近は海外旅行が安くできるようになった。,"Thanks to the strong yen, you can enjoy traveling abroad at low prices recently.","Thanks to the strong yen, we can travel abroad for less money these days.","Thanks to the strong yen, it is now possible to travel abroad at a lower cost these days.",0
円高のおかげで、最近は海外旅行が安くできるようになった。,"Thanks to the strong yen, it has become possible to travel abroad cheaply these days.","Thanks to the strong yen, we can travel abroad for less money these days.","Thanks to the strong yen, it is now possible to travel abroad at a lower cost these days.",1
この箱を運ぶのにちょっと手を貸していただけませんか。,Could you give me a hand to bring this box?,Could you give me a hand with this box?,Could you please lend me a hand to carry this box?,0
その店で買い物をしていたら、旧友のジムに会いました。,"When I was shopping, I met an old friend, Jim.","I was shopping I ran into Jim, an old friend of mine.","While shopping at that store, I met an old friend, Jim.",0
その店で買い物をしていたら、旧友のジムに会いました。,"While I went shopping at that store, I met an old friend, Jim.","I was shopping I ran into Jim, an old friend of mine.","While shopping at that store, I met an old friend, Jim.",1
その店で買い物をしていたら、旧友のジムに会いました。,"I was shopping at that store, I met old friend Jim. ","I was shopping I ran into Jim, an old friend of mine.","While shopping at that store, I met an old friend, Jim.",1
その店で買い物をしていたら、旧友のジムに会いました。,"When I was shopping in this store, I met Jim of an old friend.","I was shopping I ran into Jim, an old friend of mine.","While shopping at that store, I met an old friend, Jim.",0
火災が発生してから30分後に消防隊が到着した。,Firefighters arrived 30 minutes after the fire accident broke out.,The fire brigade arrived 30 minutes after the fire broke out.,Firefighters arrived 30 minutes after the fire broke out.,1
火災が発生してから30分後に消防隊が到着した。,Firemen reached 30 minutes after the fire happened.,The fire brigade arrived 30 minutes after the fire broke out.,Firefighters arrived 30 minutes after the fire broke out.,0
ホワイト氏は、四人家族を養うために一生懸命働いた。,Mr.White worked hard to feed his four families.,Mr. White worked hard to support a family of four.,Mr. White worked hard to support his family of four.,1
ホワイト氏は、四人家族を養うために一生懸命働いた。,Mr. White worked hard in order to take care of his family of 4.,Mr. White worked hard to support a family of four.,Mr. White worked hard to support his family of four.,0
ホワイト氏は、四人家族を養うために一生懸命働いた。,"Mr, White worked hard to feed his family of 4. ",Mr. White worked hard to support a family of four.,Mr. White worked hard to support his family of four.,1
ホワイト氏は、四人家族を養うために一生懸命働いた。,White-san worked hard to support his family of four.,Mr. White worked hard to support a family of four.,Mr. White worked hard to support his family of four.,1
赤ちゃんが目を覚まさないように、私はそっと歩いた。,I walked softly so that the baby wouldn't wake up.,I crept around so as not to wake up the baby.,I walked softly so the baby would not wake up.,1
赤ちゃんが目を覚まさないように、私はそっと歩いた。,I walked slowly not to wake up baby.,I crept around so as not to wake up the baby.,I walked softly so the baby would not wake up.,1
赤ちゃんが目を覚まさないように、私はそっと歩いた。,I walked slowly to not wake to the baby up.,I crept around so as not to wake up the baby.,I walked softly so the baby would not wake up.,1
赤ちゃんが目を覚まさないように、私はそっと歩いた。,I walked quietly not to wake the baby.,I crept around so as not to wake up the baby.,I walked softly so the baby would not wake up.,1
赤ちゃんが目を覚まさないように、私はそっと歩いた。,I walked quietly so that the baby wouldn't wake up.,I crept around so as not to wake up the baby.,I walked softly so the baby would not wake up.,1
この歌を聞くといつも私たちが過ごしたニューヨークの日々を思い出す。,This song makes me remember to precious memory when we had stayed in N.Y.,"When I hear this song, I’m always reminded of the days when we lived in New York.",This song always reminds me of our days in New York.,0
この歌を聞くといつも私たちが過ごしたニューヨークの日々を思い出す。,This song always reminds me of the day we spend in New York.,"When I hear this song, I’m always reminded of the days when we lived in New York.",This song always reminds me of our days in New York.,0
この歌を聞くといつも私たちが過ごしたニューヨークの日々を思い出す。,"Whenever I hear this song, which reminds me of the days we spend in New York.","When I hear this song, I’m always reminded of the days when we lived in New York.",This song always reminds me of our days in New York.,0
この歌を聞くといつも私たちが過ごしたニューヨークの日々を思い出す。,"Whenever I hear this song, I remember the days I spent in New York.","When I hear this song, I’m always reminded of the days when we lived in New York.",This song always reminds me of our days in New York.,0
自分の故郷に少しも愛情を感じない人はめったにいません。,There is rarely anyone who doesn't have even a little love towards their own hometown.,Most people love their hometown.,Rarely does one feel the least bit of love for one's hometown.,1
自分の故郷に少しも愛情を感じない人はめったにいません。,Few people feel no affection for their hometown.,Most people love their hometown.,Rarely does one feel the least bit of love for one's hometown.,1
自分の故郷に少しも愛情を感じない人はめったにいません。,It is a rare person that one's hometown does not feel in love.,Most people love their hometown.,Rarely does one feel the least bit of love for one's hometown.,1
君が大学に合格するかどうかは今後1年間の君の勉強量にかかっている。,It depends on the amount of study you do in the next year whether you pass the exam of college.,Whether you pass the university entrance exam or not will depend on how much work you do over the coming year.,Your success in college will depend on how much you study over the next year.,0
君が大学に合格するかどうかは今後1年間の君の勉強量にかかっている。,Whether you pass the entrance exam for the university or not will be up to how much you study hard next one year.,Whether you pass the university entrance exam or not will depend on how much work you do over the coming year.,Your success in college will depend on how much you study over the next year.,0
君が大学に合格するかどうかは今後1年間の君の勉強量にかかっている。,Whether you pass the test for university depends on your amount of study over the next year.,Whether you pass the university entrance exam or not will depend on how much work you do over the coming year.,Your success in college will depend on how much you study over the next year.,0
丁寧に手を洗うことが、ばい菌の広がりを食い止める最良の方法である。,Washing your hands carefully is the best way to stop the spread of germs.,The best way to prevent the spread of germs is to wash your hands thoroughly.,Careful hand washing is the best way to stop the spread of germs.,1
丁寧に手を洗うことが、ばい菌の広がりを食い止める最良の方法である。,to wash hands politely is the best way to stop the movement of bacteria. ,The best way to prevent the spread of germs is to wash your hands thoroughly.,Careful hand washing is the best way to stop the spread of germs.,1
丁寧に手を洗うことが、ばい菌の広がりを食い止める最良の方法である。,Washing hands cleanly is the best way to prevent not spread of the virus.,The best way to prevent the spread of germs is to wash your hands thoroughly.,Careful hand washing is the best way to stop the spread of germs.,1
丁寧に手を洗うことが、ばい菌の広がりを食い止める最良の方法である。,Washing your hands neatly is the best way to curb the spreading of germs.,The best way to prevent the spread of germs is to wash your hands thoroughly.,Careful hand washing is the best way to stop the spread of germs.,1
安売りがすべての消費者の利益になるとは限らない。,The cheap does not always lead to consumer's benefit.,Not all bargains mean saving for the consumers.,nan,0
母親のわが子に対する愛情ほど美しいものはない。,There is nothing more beautiful than a mother's love for her child.,Nothing is as beautiful as a mother’s love for her children.,Not all cheap sales are in the best interest of all consumers.,0
母親のわが子に対する愛情ほど美しいものはない。,Nothing is more beautiful than a mother's love for her child.,Nothing is as beautiful as a mother’s love for her children.,Not all cheap sales are in the best interest of all consumers.,0
母親のわが子に対する愛情ほど美しいものはない。,There is no beautiful thing other than a lovely passion for a child from mother.,Nothing is as beautiful as a mother’s love for her children.,Not all cheap sales are in the best interest of all consumers.,0
沖縄ほど米軍基地が集中している県は日本には他にはない。,No other prefecture in Japan has as many US military bases as Okinawa.,Nowhere in Japan are there as many U.S. military bases as in Okinawa.,No other prefecture in Japan has such a high concentration of U.S. military bases as Okinawa.,0
沖縄ほど米軍基地が集中している県は日本には他にはない。,No other prefecture of Japan is a lot of American bases in Okinawa.,Nowhere in Japan are there as many U.S. military bases as in Okinawa.,No other prefecture in Japan has such a high concentration of U.S. military bases as Okinawa.,1
こんなすさまじい台風は生まれて始めてだ。,I never had such a terrible typhoon.,This is the worst typhoon I’ve experienced.,I had never seen such a tremendous typhoon in my life.,1
こんなすさまじい台風は生まれて始めてだ。,It's been the first time for me to experience such a strong typhoon.,This is the worst typhoon I’ve experienced.,I had never seen such a tremendous typhoon in my life.,0
一般的に言って、人は年を取るにつれて、ますます寛大になるのです。,"Generally speaking, the older people become, the more generous they become.","Generally speaking, the older people get, he more broad-minded they become.","Generally speaking, people become increasingly generous as they get older.",0
一般的に言って、人は年を取るにつれて、ますます寛大になるのです。,"In general, the more people become older, the more people become tolerable. ","Generally speaking, the older people get, he more broad-minded they become.","Generally speaking, people become increasingly generous as they get older.",0
先日20年ぶりに帰省した。,I went to my hometown the other day for the first time in 20 years.,I went back to my hometown for the first time in twenty years the other day.,I recently returned home for the first time in 20 years.,0
先日20年ぶりに帰省した。,I went home for the first time in 20years the other day.,I went back to my hometown for the first time in twenty years the other day.,I recently returned home for the first time in 20 years.,0
先日20年ぶりに帰省した。,The other day I went home for the first time in 20 years.,I went back to my hometown for the first time in twenty years the other day.,I recently returned home for the first time in 20 years.,0
こんなにいい天気は久しぶりですと地元の人が言っていた。,The local people said that it has been a long time since we have had such good weather.,The local people said that it was the most beautiful day for years.,The locals said they haven't had such nice weather in a long time.,1
こんなにいい天気は久しぶりですと地元の人が言っていた。,"Local persons said, ""It's been a while such a beautiful weather we have"".",The local people said that it was the most beautiful day for years.,The locals said they haven't had such nice weather in a long time.,1
こんなにいい天気は久しぶりですと地元の人が言っていた。,Local people said that there was no such sunny day for a long time. ,The local people said that it was the most beautiful day for years.,The locals said they haven't had such nice weather in a long time.,0
の地方では、桜の花は3月の終わり頃に咲き、4月上旬に満開となる。,Cherry blossoms bloom around the end of March and bloom in early April in this region.,"In this area, the cherry blossoms come out around the end of March, and they are at their best in early April.","In the regions of the ""Mere Old Man"", cherry blossoms bloom at the end of March and are in full bloom in early April.",1
の地方では、桜の花は3月の終わり頃に咲き、4月上旬に満開となる。,"In this area, the cherry blossoms bloom at the end of March and become full bloom in early April.","In this area, the cherry blossoms come out around the end of March, and they are at their best in early April.","In the regions of the ""Mere Old Man"", cherry blossoms bloom at the end of March and are in full bloom in early April.",1
の地方では、桜の花は3月の終わり頃に咲き、4月上旬に満開となる。,"In this area, cherry blossoms start to bloom at the end of March, and they are in full bloom at the beginning of April.","In this area, the cherry blossoms come out around the end of March, and they are at their best in early April.","In the regions of the ""Mere Old Man"", cherry blossoms bloom at the end of March and are in full bloom in early April.",1
の地方では、桜の花は3月の終わり頃に咲き、4月上旬に満開となる。,The sakura starts blooming at the end of March and it fully blooms in early April.,"In this area, the cherry blossoms come out around the end of March, and they are at their best in early April.","In the regions of the ""Mere Old Man"", cherry blossoms bloom at the end of March and are in full bloom in early April.",1
はひどい雨だから、もうしばらくここにおいでになった方がようでしょう。,"You are better stay here for minutes, it heavy rain outside.",It’s pouring down outside. I think it would be better to stay here a little longer.,"It's raining hard in the morning, so I think you'd better stay here for a while longer.",0
はひどい雨だから、もうしばらくここにおいでになった方がようでしょう。,"Because it rains heavily outside, you better stay here for a while.",It’s pouring down outside. I think it would be better to stay here a little longer.,"It's raining hard in the morning, so I think you'd better stay here for a while longer.",0
はひどい雨だから、もうしばらくここにおいでになった方がようでしょう。,"Because of heavy rain outside, you should stay here for a while.",It’s pouring down outside. I think it would be better to stay here a little longer.,"It's raining hard in the morning, so I think you'd better stay here for a while longer.",1
はひどい雨だから、もうしばらくここにおいでになった方がようでしょう。,"It's raining terribly outside, so it is better for you to stay here for a while.",It’s pouring down outside. I think it would be better to stay here a little longer.,"It's raining hard in the morning, so I think you'd better stay here for a while longer.",0
この頃、天候が変わりやすい。,"These days, climate frequently changes.",These days the weather is changeable. ,The weather is changeable at this time.,0
この頃、天候が変わりやすい。,"Recently, the weather is so changeable.",These days the weather is changeable. ,The weather is changeable at this time.,0
この頃、天候が変わりやすい。,"Recently, the weather changes easily.",These days the weather is changeable. ,The weather is changeable at this time.,0
この頃、天候が変わりやすい。,"Recently, It tends to change the weather.",These days the weather is changeable. ,The weather is changeable at this time.,1
梅雨に入ってからこの二週間近くも降ったりやんだりしている。,It has been raining on and off for nearly two weeks since the rainy season began.,"Since the rainy season set in, it has been raining off and on for nearly two weeks.",It has been raining on and off for almost two weeks now since the rainy season began.,1
梅雨に入ってからこの二週間近くも降ったりやんだりしている。,"Since the rainy season came, it has rains repeatedly for two weeks.","Since the rainy season set in, it has been raining off and on for nearly two weeks.",It has been raining on and off for almost two weeks now since the rainy season began.,0
今度の日曜日、天候がよければ奥多摩にハイキングに行きませんか。,Shall we go to take hiking to Okutama if good weather next Sunday?,How would you like to go hiking in Okutama next Sunday if the weather is nice.,"This coming Sunday, if the weather permits, why don't we go hiking in Okutama?",0
今度の日曜日、天候がよければ奥多摩にハイキングに行きませんか。,Why don't we go hiking if the weather is fine this Sunday?,How would you like to go hiking in Okutama next Sunday if the weather is nice.,"This coming Sunday, if the weather permits, why don't we go hiking in Okutama?",1
今度の日曜日、天候がよければ奥多摩にハイキングに行きませんか。,May I go hiking in Okutama with you if the weather of the coming Sunday is fine?,How would you like to go hiking in Okutama next Sunday if the weather is nice.,"This coming Sunday, if the weather permits, why don't we go hiking in Okutama?",1
天気予報によると、台風は今夜半頃、九州地方に接近するそうです。,The weather forecast says Typhoon will come near to Kyushu area around midnight tonight.,The weather repot says that the typhoon is going to hit the Kyusyu area around midnight.,"According to the weather forecast, the typhoon will approach the Kyushu area around midnight this evening.",1
天気予報によると、台風は今夜半頃、九州地方に接近するそうです。,"According to the forecast, the typhoon is approaching the Kyushu area around this midnight.",The weather repot says that the typhoon is going to hit the Kyusyu area around midnight.,"According to the weather forecast, the typhoon will approach the Kyushu area around midnight this evening.",1
天気予報によると、台風は今夜半頃、九州地方に接近するそうです。,"According to a weather broadcast, typhoon is near region in Kyusyu tonight.",The weather repot says that the typhoon is going to hit the Kyusyu area around midnight.,"According to the weather forecast, the typhoon will approach the Kyushu area around midnight this evening.",1
天気予報によると、台風は今夜半頃、九州地方に接近するそうです。,The weather report says that the typhoon will arrive in the Kyushu area around midnight tonight.,The weather repot says that the typhoon is going to hit the Kyusyu area around midnight.,"According to the weather forecast, the typhoon will approach the Kyushu area around midnight this evening.",0
東京の気候は私の故郷よりもはるかに穏やかだ。,The climate of Tokyo is much milder than that of my hometown.,The climate in Tokyo is much milder than that in my hometown.,The climate in Tokyo is much milder than in my hometown.,0
東京の気候は私の故郷よりもはるかに穏やかだ。,The climate in Tokyo is much milder than in my hometown.,The climate in Tokyo is much milder than that in my hometown.,The climate in Tokyo is much milder than in my hometown.,1
東京の気候は私の故郷よりもはるかに穏やかだ。,The climate in Tokyo is milder than that is in my hometown.,The climate in Tokyo is much milder than that in my hometown.,The climate in Tokyo is much milder than in my hometown.,0
今年の冬は例年になく雪が多い。,"This winter, we have much more snow than usual.",We’ve had more snow than usual this winter.,This winter has been unusually snowy.,0
今年の冬は例年になく雪が多い。,It unprecedentedly snows a lot this year.,We’ve had more snow than usual this winter.,This winter has been unusually snowy.,0
今年の冬は例年になく雪が多い。,There is more snow this year than usual.,We’ve had more snow than usual this winter.,This winter has been unusually snowy.,0
今年の冬は例年になく雪が多い。,This winter there is a lot of snow rather than another year.,We’ve had more snow than usual this winter.,This winter has been unusually snowy.,0
こんなに大雪になったのは20年ぶりだ。,It's been 20 years since snowing such a lot.,This is the heaviest snowfall we’ve had for the past twenty years.,It has been 20 years since we have had such a heavy snowfall.,1
こんなに大雪になったのは20年ぶりだ。,The heaviest snowfall in recent 20 years. ,This is the heaviest snowfall we’ve had for the past twenty years.,It has been 20 years since we have had such a heavy snowfall.,0
こんなに大雪になったのは20年ぶりだ。,It has been very snowy for 20 years.,This is the heaviest snowfall we’ve had for the past twenty years.,It has been 20 years since we have had such a heavy snowfall.,1
道が混んでいてバスが予定より20分も遅れたものですから。,Because the bus was late in 20minuites according to traffic jam. ,"The traffic was heavy, so my bus came twenty minutes late.",The bus was 20 minutes behind schedule due to congestion on the roads.,0
道が混んでいてバスが予定より20分も遅れたものですから。,The bus was 20 minutes late because the road was crowded.,"The traffic was heavy, so my bus came twenty minutes late.",The bus was 20 minutes behind schedule due to congestion on the roads.,1
私は自動車を運転してほとんど30年になるが、幸いこれまで事故にあったことがない。,"I have been driving a car almost for thirty years, but I have had no car accidents, fortunately.","I have been driving for almost thirty years, but fortunately I have never had an accident.",I have been driving a car for almost 30 years and fortunately have never had an accident.,0
私は自動車を運転してほとんど30年になるが、幸いこれまで事故にあったことがない。,"I, fortunately, haven't got a car accident for 30 years since I started driving a car.","I have been driving for almost thirty years, but fortunately I have never had an accident.",I have been driving a car for almost 30 years and fortunately have never had an accident.,0
私は自動車を運転してほとんど30年になるが、幸いこれまで事故にあったことがない。,"I have been driving for almost 30years, fortunately, I have never had traffic accidents.","I have been driving for almost thirty years, but fortunately I have never had an accident.",I have been driving a car for almost 30 years and fortunately have never had an accident.,0
私は自動車を運転してほとんど30年になるが、幸いこれまで事故にあったことがない。,"I've been driving a car for almost 30 years, and fortunately, I've never had an accident.","I have been driving for almost thirty years, but fortunately I have never had an accident.",I have been driving a car for almost 30 years and fortunately have never had an accident.,1
幼稚園児がこの通りの交差点でトラックにはねられているのを見て、ショックを受けた。,I was shocked I saw a Kindergarten child was hit by the track at the intersection of this street.,I was shocked at how a small child was run over by a truck at this corner.,I was shocked to see a kindergartner hit by a truck at the intersection of these streets.,1
幼稚園児がこの通りの交差点でトラックにはねられているのを見て、ショックを受けた。,I was very shocked to see that the truck went over the child at the crossroad of this street. ,I was shocked at how a small child was run over by a truck at this corner.,I was shocked to see a kindergartner hit by a truck at the intersection of these streets.,1
もし彼がその電車に乗っていたら、事故に巻き込まれたでしょう。,"If he had taken the train, he would have been involved in an accident.","If he had been on the train, he would have been in the accident.","If he had been on that train, he would have been involved in an accident.",1
もし彼がその電車に乗っていたら、事故に巻き込まれたでしょう。,"If he was on the train, he would have been in the accident.","If he had been on the train, he would have been in the accident.","If he had been on that train, he would have been involved in an accident.",0
